campaign,run,step,tokens_B,layer,n_transitions,head_dim,frac_transition_any_complex,frac_transition_any_real_neg,frac_alpha_neg,frac_beta_gt1,mean_beta,median_abs_alpha,angle_q50,modulus_complex_q50
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,19,256,128,0.140625,0.80078125,0.02008056640625,0.328125,0.8389987945556641,0.9773529767990112,2.253216116131891,0.13237063512696284
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,20,256,128,0.1328125,0.76171875,0.030242919921875,0.29296875,0.7745741605758667,0.9299361705780029,1.7995844448048701,0.08228248884916918
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,21,256,128,0.0546875,0.75390625,0.024627685546875,0.09375,0.5025179982185364,0.9924843907356262,2.1594781955261486,0.10621586038740048
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,22,256,128,0.046875,0.890625,0.02679443359375,0.0625,0.4427698254585266,0.9937591552734375,2.3038158474306107,0.10691102053214514
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,23,256,128,0.0703125,0.765625,0.020294189453125,0.265625,0.8046901226043701,0.9689445495605469,2.116072736011742,0.07538336941356276
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,48640,25.501,0,256,128,0.41015625,1.0,0.220306396484375,0.48828125,1.0809435844421387,0.8519314527511597,1.8552265153237968,0.12866458254994906
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,48640,25.501,1,256,128,0.09375,0.9921875,0.104949951171875,0.12109375,0.6911174654960632,0.5565205812454224,2.435902525121408,0.0819444808688001
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,48640,25.501,2,256,128,0.02734375,0.97265625,0.079742431640625,0.05859375,0.619516909122467,0.6090008020401001,2.6075907673323058,0.05772492962927763
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,48640,25.501,3,256,128,0.046875,0.94140625,0.075042724609375,0.16796875,0.6682306528091431,0.6379418969154358,2.809972270375022,0.04506643365405184
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,48640,25.501,4,256,128,0.0390625,0.953125,0.077911376953125,0.09765625,0.6452575922012329,0.7385997772216797,2.385608750067586,0.07731437113684493
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,48640,25.501,5,256,128,0.1328125,0.86328125,0.09423828125,0.171875,0.7079668641090393,0.5699819922447205,2.4768020682081824,0.10068901627579505
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,48640,25.501,6,256,128,0.12890625,0.84765625,0.049835205078125,0.19140625,0.7226120829582214,0.8426434993743896,2.3573403973830778,0.12354434436343507
